,operand1,operand2,target
0,74,10,84
1,56,47,103
2,90,12,102
3,68,76,144
4,86,64,150
5,75,38,113
6,0,6,6
7,84,30,114
8,5,46,51
9,35,34,69
10,59,15,74
11,39,45,84
12,16,43,59
13,4,89,93
14,76,90,166
15,31,49,80
16,72,31,103
17,58,23,81
18,7,24,31
19,83,56,139
20,12,7,19
21,11,48,59
22,55,85,140
23,99,58,157
24,68,40,108
25,8,68,76
26,9,72,81
27,60,90,150
28,96,99,195
29,70,15,85
30,88,76,164
31,41,56,97
32,90,92,182
33,38,14,52
34,78,7,85
35,69,99,168
36,15,54,69
37,70,63,133
38,9,13,22
39,94,97,191
40,77,64,141
41,10,0,10
42,95,22,117
43,74,29,103
44,87,44,131
45,81,86,167
46,38,86,124
47,42,20,62
48,83,56,139
49,86,72,158
50,68,92,160
51,49,37,86
52,66,77,143
53,72,36,108
54,34,63,97
55,57,81,138
56,34,19,53
57,32,56,88
58,24,27,51
59,100,78,178
60,79,78,157
61,54,34,88
62,6,49,55
63,74,77,151
64,71,93,164
65,101,100,201
66,27,92,119
67,28,16,44
68,88,18,106
69,85,61,146
70,39,5,44
71,21,2,23
72,39,84,123
73,76,81,157
74,7,0,7
75,91,48,139
76,10,14,24
77,30,50,80
78,53,59,112
79,100,80,180
80,54,77,131
81,92,74,166
82,95,13,108
83,91,6,97
84,89,83,172
85,86,79,165
86,3,67,70
87,51,99,150
88,98,25,123
89,3,33,36
90,40,81,121
91,69,46,115
92,56,15,71
93,44,90,134
94,84,45,129
95,22,64,86
96,0,22,22
97,68,4,72
98,60,9,69
99,83,14,97
